ai hu ea
120
bl 62 61
re 14 21
bl 61 62
re 21 28
bl 62 61
re 28 35
bl 61 62
re 35 42
bl 56 49
re 42 35
bl 62 61
re 35 36
bl 61 62
re 6 13
bl 62 61
re 20 19
bl 61 62
re 13 20
bl 62 61
re 20 27
bl 61 62
re 0 7
bl 62 61
re 7 14
bl 61 62
re 14 21
bl 62 61
re 21 28
bl 61 62
re 28 35
bl 62 61
re 35 42
bl 49 56
re 42 49
bl 56 57
re 49 50
bl 57 56
re 50 43
bl 44 51
re 43 44
bl 51 58
re 44 51
bl 58 57
re 51 50
bl 57 58
re 50 57
bl 58 51
re 57 56
bl 61 62
re 56 57
bl 62 61
re 57 50
bl 51 58
re 50 51
bl 58 57
re 51 44
bl 61 62
re 44 45
bl 46 53
re 45 46
bl 53 60
re 46 53
bl 62 61
re 53 46
bl 61 62
re 46 47
bl 48 41
re 47 46
bl 60 61
re 36 37
bl 62 55
re 37 38
bl 61 62
re 38 39
bl 62 61
re 39 40
bl 61 62
re 46 47
bl 41 34
re 27 34
bl 62 61
re 34 31
bl 61 62
re 19 20
bl 62 61
re 20 27
bl 61 62
re 27 34
bl 62 61
re 34 41
bl 54 53
re 41 48
bl 61 62
re 48 55
bl 62 61
re 47 54
bl 57 58
re 54 53
bl 58 51
re 53 54
bl 61 60
re 54 53
bl 60 61
re 55 62
bl 61 54
re 53 54
bl 51 58
re 54 53
bl 58 57
re 53 46
bl 57 58
re 46 45
bl 58 51
re 45 44
bl 51 58
re 62 55
bl 58 57
re 44 43
bl 57 50
re 43 50
bl
**  **  **  **  **  **  **
**  do  **  **  **  ca  **
**  **  le  **  wo  **  **
**  **  **  **  **  **  **
**  **  **  ti  **  **  **
**  **  **  **  **  ra  **
**  **  **  **  **  **  **
**  li  **  **  **  **  el
**  **  **  **  **  **  **
normal 60
