hu ai ha
173
bl 48 41
re 20 19
bl 41 34
re 18 11
bl 34 27
re 6 13
bl 62 55
re 13 20
bl 27 26
re 16 17
bl 55 48
re 8 9
bl 48 41
re 0 1
bl 56 57
re 20 13
bl 57 58
re 14 21
bl 41 38
re 21 28
bl 50 49
re 28 29
bl 42 43
re 17 16
bl 38 31
re 12 5
bl 31 24
re 19 18
bl 24 21
re 18 19
bl 21 14
re 1 8
bl 14 21
re 29 22
bl 21 28
re 22 29
bl 28 35
re 8 15
bl 35 38
re 15 14
bl 58 51
re 14 21
bl 51 52
re 21 24
bl 44 51
re 29 30
bl 43 42
re 30 29
bl 42 35
re 29 28
bl 35 42
re 28 29
bl 42 43
re 29 30
bl 52 53
re 24 17
bl 54 61
re 16 15
bl 38 31
re 17 18
bl 26 25
re 18 17
bl 53 54
re 13 6
bl 54 47
re 6 13
bl 47 48
re 13 6
bl 48 41
re 6 13
bl 41 34
re 13 6
bl 34 27
re 5 12
bl 25 32
re 6 5
bl 27 24
re 30 23
bl 43 42
re 19 20
bl 42 35
re 20 27
bl 35 28
re 23 22
bl 28 21
re 22 23
bl 32 39
re 9 2
bl 39 40
re 27 20
bl 21 14
re 12 13
bl 14 15
re 23 16
bl 15 14
re 16 15
bl 14 21
re 15 16
bl 21 28
re 16 23
bl 28 21
re 23 16
bl 21 14
re 16 15
bl 14 21
re 15 16
bl 21 28
re 16 23
bl 28 35
re 17 18
bl 40 39
re 18 17
bl 35 42
re 23 22
bl 42 43
re 20 27
bl 43 42
re 27 20
bl 42 43
re 20 27
bl 43 44
re 2 1
bl 44 45
re 5 12
bl 45 52
re 12 19
bl 52 53
re 19 47
bl 46 45
re 1 8
bl 45 44
re 22 23
bl 44 43
re 23 22
bl 43 42
re 8 9
bl 42 35
re 22 23
bl 35 28
re 23 22
bl 28 21
re 47 19
bl 21 14
re 11 4
bl 14 15
re 9 10
bl 15 8
re 17 16
bl 8 1
re 10 9
bl 1 8
re 4 5
bl 8 9
re 16 9
bl 24 17
re 9 10
bl 31 24
re 19 47
bl 17 16
re 22 29
bl 16 15
re 29 36
bl 15 8
re 10 9
bl 24 17
re 47 48
bl 8 1
re 48 47
bl 1 2
re 9 2
bl 17 10
re 2 9
bl 10 3
re
**  **  **  LI  **  wo  **
**  **  li  **  **  **  ca
**  **  **  **  **  **  **
**  **  **  **  **  **  el
**  **  **  **  **  **  **
**  ra  **  **  RA  **  **
**  **  **  **  **  ti  **
CA  **  WO  **  EL  **  **
**  **  **  **  **  DO  **
normal 60
