ai hu ha
97
bl 48 41
re 6 13
bl 62 55
re 14 21
bl 41 34
re 21 28
bl 42 43
re 20 19
bl 44 51
re 13 20
bl 34 33
re 20 27
bl 55 48
re 27 24
bl 56 57
re 24 31
bl 48 41
re 31 24
bl 41 38
re 24 27
bl 38 31
re 28 35
bl 50 49
re 27 34
bl 46 45
re 18 17
bl 33 26
re 34 27
bl 31 24
re 19 18
bl 26 19
re 12 19
bl 24 27
re 19 12
bl 54 53
re 18 19
bl 49 42
re 35 36
bl 27 24
re 19 18
bl 24 21
re 0 7
bl 43 44
re 18 19
bl 44 43
re 19 18
bl 43 44
re 18 11
bl 44 43
re 11 18
bl 43 44
re 17 10
bl 44 43
re 8 15
bl 43 44
re 18 17
bl 44 43
re 17 24
bl 45 46
re 24 31
bl 46 47
re 36 37
bl 43 44
re 37 38
bl 42 49
re 12 19
bl 47 48
re 10 17
bl 44 43
re 38 39
bl 43 42
re 17 10
bl 57 50
re 31 38
bl 50 43
re 15 8
bl 43 15
re 8 1
bl 15 16
re 19 18
bl 16 17
re 18 11
bl 42 43
re 10 9
bl 43 44
re 39 40
bl 17 18
re 11 4
bl 21 24
re 7 14
bl 18 11
re 4 5
bl 24 17
re 38 45
bl 11 10
re 45 44
bl 10 3
re
**  do  **  TI  **  ca  **
**  **  wo  **  **  **  **
li  **  **  LI  **  **  **
**  **  **  **  **  **  **
**  **  **  **  **  **  **
**  **  **  **  **  ra  **
**  **  el  **  **  **  LE
CA  **  WO  **  DO  **  **
**  **  **  **  **  **  **
normal 60
